car_name,brand,model,km_driven,seller_type,fuel_type,transmission_type,seats,selling_price,vehicle_age,mileage,seller_d,Transmission_Auto,Fuel_Petrol,Fuel_electric,Fuel_Diesel,Fuel_CNG,Fuel_LPG,engine,max_power,,,
Hyundai i20,Hyundai,i20,15000,Individual,Diesel,Manual,5,850000,3,22.54,0,0,0,0,1,0,0,1396,88.73,,,
Hyundai i20,Hyundai,i20,40000,Individual,Petrol,Manual,5,598000,3,18.6,0,0,1,0,0,0,0,1197,81.83,,,
Honda City,Honda,City,31180,Dealer,Petrol,Automatic,5,700000,6,18,1,1,1,0,0,0,0,1497,117.3,,,
Maruti Swift Dzire,Maruti,Swift Dzire,56000,Dealer,Diesel,Manual,5,410000,7,23.4,1,0,0,0,1,0,0,1248,74,,,
Maruti Baleno,Maruti,Baleno,52427,Dealer,Petrol,Automatic,5,590000,5,21.4,1,1,1,0,0,0,0,1197,83.1,,,
Mahindra Bolero,Mahindra,Bolero,40000,Individual,Diesel,Manual,7,850000,1,21,0,0,0,0,1,0,0,1498,74.96,,,
Mahindra KUV100,Mahindra,KUV100,17000,Individual,Petrol,Manual,5,550000,3,18.15,0,0,1,0,0,0,0,1198,82,,,
Maruti Baleno,Maruti,Baleno,22000,Dealer,Petrol,Manual,5,625000,5,15.4,1,0,1,0,0,0,0,1590,94,,,
Maruti Swift Dzire,Maruti,Swift Dzire,54000,Individual,Petrol,Manual,5,600000,5,20.85,0,0,1,0,0,0,0,1197,83.14,,,
Maruti Wagon R,Maruti,Wagon R,10000,Individual,Petrol,Manual,5,445000,2,20.51,0,0,1,0,0,0,0,998,67.04,,,
Maruti Ignis,Maruti,Ignis,20000,Individual,Petrol,Manual,5,530000,2,20.89,0,0,1,0,0,0,0,1197,81.8,,,
Maruti Wagon R,Maruti,Wagon R,53237,Trustmark Dealer,CNG,Manual,5,410000,3,26.6,0,0,0,0,0,1,0,998,58.16,,,
Datsun RediGO,Datsun,RediGO,27263,Individual,Petrol,Manual,5,350000,3,22.5,0,0,1,0,0,0,0,999,68,,,
Hyundai Verna,Hyundai,Verna,110000,Individual,Diesel,Manual,5,520000,7,22.32,0,0,0,0,1,0,0,1582,126.3,,,
Hyundai i20,Hyundai,i20,70000,Individual,Diesel,Manual,5,750000,5,22.54,0,0,0,0,1,0,0,1396,88.73,,,
Maruti Swift Dzire,Maruti,Swift Dzire,70000,Individual,Diesel,Manual,5,560000,4,26.59,0,0,0,0,1,0,0,1248,74,,,
Hyundai i20,Hyundai,i20,39000,Dealer,Petrol,Manual,5,655000,2,18.6,1,0,1,0,0,0,0,1197,81.83,,,
Hyundai Santro,Hyundai,Santro,56000,Dealer,Petrol,Manual,5,125000,14,17.8,1,0,1,0,0,0,0,1086,63,,,
Hyundai i20,Hyundai,i20,34000,Individual,Petrol,Manual,5,550000,3,18.6,0,0,1,0,0,0,0,1197,81.83,,,
Mahindra Scorpio,Mahindra,Scorpio,50000,Individual,Diesel,Manual,7,1150000,4,15.4,0,0,0,0,1,0,0,1997,120,,,
Volkswagen Vento,Volkswagen,Vento,77400,Individual,Diesel,Manual,5,500000,9,20.54,0,0,0,0,1,0,0,1598,103.6,,,
Mahindra Marazzo,Mahindra,Marazzo,36000,Individual,Diesel,Manual,7,990000,2,17.3,0,0,0,0,1,0,0,1497,121,,,
Hyundai Verna,Hyundai,Verna,47876,Dealer,Diesel,Manual,5,551000,8,25,1,0,0,0,1,0,0,1493,113.42,,,
Mahindra XUV500,Mahindra,XUV500,21500,Individual,Diesel,Automatic,7,1650000,3,15.1,0,1,0,0,1,0,0,2179,152.87,,,
Hyundai Grand,Hyundai,Grand,75000,Dealer,Diesel,Manual,5,350000,6,24,1,0,0,0,1,0,0,1120,70,,,
Ford Aspire,Ford,Aspire,58000,Dealer,Petrol,Manual,5,500000,4,18.16,1,0,1,0,0,0,0,1196,86.8,,,
Maruti Swift Dzire,Maruti,Swift Dzire,30000,Individual,Petrol,Manual,5,575000,3,21.21,0,0,1,0,0,0,0,1197,81.8,,,
Hyundai Grand,Hyundai,Grand,50000,Individual,Diesel,Manual,5,545000,3,24,0,0,0,0,1,0,0,1186,73.97,,,
Ford Figo,Ford,Figo,19093,Trustmark Dealer,Petrol,Manual,5,525000,4,18.16,0,0,1,0,0,0,0,1196,86.8,,,
Honda Amaze,Honda,Amaze,50000,Individual,Petrol,Manual,5,400000,7,18,0,0,1,0,0,0,0,1198,86.7,,,
Maruti Wagon R,Maruti,Wagon R,37000,Dealer,Petrol,Manual,5,155000,15,14,1,0,1,0,0,0,0,1061,64,,,
Maruti Swift Dzire,Maruti,Swift Dzire,47000,Dealer,Diesel,Manual,5,545000,5,26.59,1,0,0,0,1,0,0,1248,74,,,
Honda City,Honda,City,70000,Individual,Petrol,Manual,5,545000,8,16.8,0,0,1,0,0,0,0,1497,116.3,,,
Renault KWID,Renault,KWID,25000,Individual,Petrol,Manual,5,240000,5,25.17,0,0,1,0,0,0,0,799,53.3,,,
Maruti Vitara,Maruti,Vitara,26000,Dealer,Diesel,Manual,5,725000,3,24.3,1,0,0,0,1,0,0,1248,88.5,,,
Ford Aspire,Ford,Aspire,30000,Individual,Petrol,Manual,5,480000,4,18.16,0,0,1,0,0,0,0,1196,86.8,,,
Hyundai i20,Hyundai,i20,15000,Individual,Petrol,Manual,5,375000,8,18.5,0,0,1,0,0,0,0,1197,82.9,,,
Maruti Swift,Maruti,Swift,160000,Individual,Diesel,Manual,5,225000,10,17.8,0,0,0,0,1,0,0,1248,75,,,
Tata Tiago,Tata,Tiago,32100,Individual,Petrol,Manual,5,400000,4,23.84,0,0,1,0,0,0,0,1199,84,,,
Hyundai i20,Hyundai,i20,22000,Dealer,Petrol,Manual,5,550000,5,18.5,1,0,1,0,0,0,0,1197,82.9,,,
Mahindra Scorpio,Mahindra,Scorpio,44000,Dealer,Diesel,Manual,7,1050000,5,15.4,1,0,0,0,1,0,0,2179,120,,,
Volkswagen Polo,Volkswagen,Polo,78000,Dealer,Petrol,Manual,5,450000,5,18.78,1,0,1,0,0,0,0,1198,74,,,
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,74352,Dealer,Petrol,Automatic,5,775000,9,11.74,1,1,1,0,0,0,0,1796,186,,,
Maruti Wagon R,Maruti,Wagon R,37000,Individual,Petrol,Manual,5,350000,7,20.51,0,0,1,0,0,0,0,998,67.04,,,
Honda City,Honda,City,69000,Dealer,Diesel,Manual,5,550000,7,25.1,1,0,0,0,1,0,0,1498,98.6,,,
Kia Seltos,Kia,Seltos,12120,Individual,Petrol,Manual,5,1080000,2,16.8,0,0,1,0,0,0,0,1497,113.4,,,
Maruti Baleno,Maruti,Baleno,52000,Dealer,Petrol,Manual,5,575000,5,21.01,1,0,1,0,0,0,0,1197,81.8,,,
Toyota Innova,Toyota,Innova,120000,Individual,Diesel,Manual,8,950000,5,12.99,0,0,0,0,1,0,0,2494,100.6,,,
Maruti Alto,Maruti,Alto,55000,Individual,Petrol,Manual,5,230000,8,22.74,0,0,1,0,0,0,0,796,47.3,,,
Hyundai i20,Hyundai,i20,160000,Individual,Diesel,Manual,5,270000,10,21.9,0,0,0,0,1,0,0,1396,90,,,
Ford Figo,Ford,Figo,40000,Individual,Petrol,Manual,5,130000,10,15.6,0,0,1,0,0,0,0,1196,70,,,
Maruti Swift Dzire,Maruti,Swift Dzire,46000,Dealer,Petrol,Manual,5,370000,9,19.1,1,0,1,0,0,0,0,1197,85.8,,,
Maruti Baleno,Maruti,Baleno,25000,Dealer,Petrol,Manual,5,570000,4,21.4,1,0,1,0,0,0,0,1197,83.1,,,
Volkswagen Polo,Volkswagen,Polo,90000,Dealer,Diesel,Manual,5,365000,8,22.07,1,0,0,0,1,0,0,1199,73.9,,,
Hyundai i20,Hyundai,i20,49566,Dealer,Petrol,Manual,5,280000,9,18.5,1,0,1,0,0,0,0,1197,82.85,,,
Hyundai Verna,Hyundai,Verna,14000,Dealer,Diesel,Automatic,5,1250000,3,22,1,1,0,0,1,0,0,1582,126.2,,,
Hyundai i20,Hyundai,i20,11000,Dealer,Petrol,Manual,5,590000,5,18.6,1,0,1,0,0,0,0,1197,81.83,,,
Maruti Celerio,Maruti,Celerio,5000,Individual,Petrol,Automatic,5,475000,3,23.1,0,1,1,0,0,0,0,998,67.04,,,
Ford Ecosport,Ford,Ecosport,55000,Dealer,Diesel,Manual,5,685000,4,23,1,0,0,0,1,0,0,1498,98.96,,,
Hyundai Verna,Hyundai,Verna,65000,Dealer,Diesel,Automatic,5,380000,9,19.08,1,1,0,0,1,0,0,1582,126.32,,,
Renault KWID,Renault,KWID,22000,Individual,Petrol,Manual,5,330000,3,23.01,0,0,1,0,0,0,0,999,67,,,
Maruti Baleno,Maruti,Baleno,7671,Trustmark Dealer,Petrol,Manual,5,650000,3,21.01,0,0,1,0,0,0,0,1197,81.8,,,
Maruti Wagon R,Maruti,Wagon R,66000,Individual,Petrol,Manual,5,325000,5,20.51,0,0,1,0,0,0,0,998,67.04,,,
Maruti Swift Dzire,Maruti,Swift Dzire,45156,Dealer,Petrol,Automatic,5,640000,3,21.21,1,1,1,0,0,0,0,1197,81.8,,,
Hyundai Venue,Hyundai,Venue,25000,Individual,Petrol,Manual,5,949000,2,18.27,0,0,1,0,0,0,0,998,118.35,,,
Hyundai Verna,Hyundai,Verna,120000,Individual,Diesel,Manual,5,660000,6,23.9,0,0,0,0,1,0,0,1582,126.2,,,
Maruti Swift,Maruti,Swift,28000,Dealer,Petrol,Manual,5,435000,7,16.1,1,0,1,0,0,0,0,1197,85,,,
Hyundai i20,Hyundai,i20,55000,Dealer,Diesel,Manual,5,385000,8,21.9,1,0,0,0,1,0,0,1396,88.76,,,
Hyundai Verna,Hyundai,Verna,14000,Dealer,Diesel,Automatic,5,1250000,2,22,1,1,0,0,1,0,0,1582,126.2,,,
Maruti Wagon R,Maruti,Wagon R,98780,Dealer,Petrol,Manual,5,155000,12,18.9,1,0,1,0,0,0,0,998,67.1,,,
Maruti Swift,Maruti,Swift,58000,Dealer,Diesel,Manual,5,415000,6,25.2,1,0,0,0,1,0,0,1248,74,,,
Maruti Alto,Maruti,Alto,30000,Individual,Petrol,Manual,5,251000,10,20.92,0,0,1,0,0,0,0,998,67.1,,,
Mahindra Scorpio,Mahindra,Scorpio,46400,Dealer,Diesel,Manual,7,1150000,5,15.4,1,0,0,0,1,0,0,2179,120,,,
Hyundai i10,Hyundai,i10,32111,Trustmark Dealer,Petrol,Manual,5,310000,7,19.81,0,0,1,0,0,0,0,1086,68.05,,,
Datsun GO,Datsun,GO,35000,Individual,Petrol,Manual,7,350000,6,19.44,0,0,1,0,0,0,0,1198,67,,,
Mahindra Scorpio,Mahindra,Scorpio,30000,Dealer,Diesel,Manual,7,1125000,4,15.4,1,0,0,0,1,0,0,1997,120,,,
BMW 5,BMW,5,63000,Dealer,Diesel,Automatic,5,2600000,5,18.59,1,1,0,0,1,0,0,2993,261.49,,,
Datsun GO,Datsun,GO,10000,Individual,Petrol,Manual,7,480000,3,20.62,0,0,1,0,0,0,0,1198,67,,,
Maruti Swift Dzire,Maruti,Swift Dzire,25000,Individual,Diesel,Automatic,5,850000,4,28.4,0,1,0,0,1,0,0,1248,74.02,,,
Hyundai Creta,Hyundai,Creta,102000,Dealer,Diesel,Automatic,5,1100000,4,17.01,1,1,0,0,1,0,0,1582,126.2,,,
Maruti Swift,Maruti,Swift,35000,Dealer,Petrol,Manual,5,575000,3,22,1,0,1,0,0,0,0,1197,81.8,,,
Maruti Swift Dzire,Maruti,Swift Dzire,49948,Dealer,Petrol,Manual,5,340000,9,17.5,1,0,1,0,0,0,0,1298,85.8,,,
Ford Ecosport,Ford,Ecosport,55000,Individual,Diesel,Manual,5,925000,3,23,0,0,0,0,1,0,0,1498,98.96,,,
Hyundai Grand,Hyundai,Grand,36000,Dealer,Petrol,Manual,5,400000,6,18.9,1,0,1,0,0,0,0,1197,82,,,
Honda City,Honda,City,49625,Dealer,Petrol,Manual,5,725000,5,17.8,1,0,1,0,0,0,0,1497,117.3,,,
Maruti Swift Dzire,Maruti,Swift Dzire,35000,Individual,Diesel,Manual,5,600000,7,23.4,0,0,0,0,1,0,0,1248,74,,,
Mahindra Scorpio,Mahindra,Scorpio,95000,Individual,Diesel,Manual,8,550000,8,12.05,0,0,0,0,1,0,0,2179,120,,,
Ford Aspire,Ford,Aspire,36000,Dealer,Diesel,Manual,5,585000,4,25.83,1,0,0,0,1,0,0,1498,99,,,
Maruti Wagon R,Maruti,Wagon R,50000,Individual,Petrol,Manual,5,411000,2,21.79,0,0,1,0,0,0,0,998,67.05,,,
Maruti Swift Dzire,Maruti,Swift Dzire,26500,Individual,Petrol,Manual,5,450000,6,20.85,0,0,1,0,0,0,0,1197,83.14,,,
Honda CR-V,Honda,CR-V,80000,Dealer,Petrol,Automatic,5,1290000,6,13.7,1,1,1,0,0,0,0,1997,153.86,,,
Volkswagen Polo,Volkswagen,Polo,46000,Dealer,Petrol,Manual,5,455000,6,16.47,1,0,1,0,0,0,0,1198,74,,,
Hyundai Grand,Hyundai,Grand,9000,Individual,Petrol,Manual,5,710000,2,20.7,0,0,1,0,0,0,0,1197,81.86,,,
Honda City,Honda,City,53000,Dealer,Petrol,Manual,5,770000,5,16.8,1,0,1,0,0,0,0,1497,116.3,,,
Ford Endeavour,Ford,Endeavour,11387,Individual,Diesel,Automatic,7,2900000,3,10.91,0,1,0,0,1,0,0,3198,197,,,
Honda Amaze,Honda,Amaze,50000,Individual,Diesel,Manual,5,720000,3,25.8,0,0,0,0,1,0,0,1498,98.6,,,
Mahindra KUV,Mahindra,KUV,52000,Dealer,Diesel,Manual,5,375000,5,25.32,1,0,0,0,1,0,0,1198,77,,,
Datsun GO,Datsun,GO,35000,Individual,Petrol,Manual,7,400000,6,19.44,0,0,1,0,0,0,0,1198,67,,,
Renault Duster,Renault,Duster,48000,Individual,Diesel,Manual,5,600000,6,19.87,0,0,0,0,1,0,0,1461,83.8,,,
Honda Jazz,Honda,Jazz,18000,Individual,Petrol,Manual,5,600000,3,18.7,0,0,1,0,0,0,0,1199,88.7,,,
Maruti Wagon R,Maruti,Wagon R,57413,Individual,LPG,Manual,5,270000,9,14.4,0,0,0,0,0,0,1,998,61.7,,,
Hyundai i20,Hyundai,i20,30000,Individual,Petrol,Manual,5,500000,6,18.6,0,0,1,0,0,0,0,1197,81.83,,,
Hyundai Verna,Hyundai,Verna,55000,Dealer,Diesel,Manual,5,650000,6,23.9,1,0,0,0,1,0,0,1582,126.2,,,
Maruti Swift,Maruti,Swift,10000,Individual,Petrol,Automatic,5,660000,3,21.21,0,1,1,0,0,0,0,1197,81.8,,,
BMW 3,BMW,3,68000,Dealer,Diesel,Automatic,5,2090000,5,22.69,1,1,0,0,1,0,0,1995,190,,,
Kia Seltos,Kia,Seltos,8000,Dealer,Petrol,Manual,5,1275000,1,16.8,1,0,1,0,0,0,0,1497,113.4,,,
Maruti Swift,Maruti,Swift,65000,Dealer,Diesel,Manual,5,495000,6,28.4,1,0,0,0,1,0,0,1248,74,,,
Hyundai Grand,Hyundai,Grand,25000,Individual,Petrol,Manual,5,475000,5,18.9,0,0,1,0,0,0,0,1197,82,,,
Maruti Ciaz,Maruti,Ciaz,70000,Individual,Petrol,Manual,5,530000,6,20.73,0,0,1,0,0,0,0,1373,91.1,,,
Tata Tiago,Tata,Tiago,9500,Individual,Petrol,Manual,5,530000,5,23.84,0,0,1,0,0,0,0,1199,84,,,
Hyundai Verna,Hyundai,Verna,9100,Individual,Petrol,Manual,5,650000,6,17.01,0,0,1,0,0,0,0,1591,121.3,,,
Honda City,Honda,City,86000,Dealer,Petrol,Manual,5,335000,11,17,1,0,1,0,0,0,0,1497,118,,,
Audi A4,Audi,A4,78000,Dealer,Diesel,Automatic,5,1290000,8,16.55,1,1,0,0,1,0,0,1968,147.51,,,
Ford Figo,Ford,Figo,60000,Individual,Diesel,Manual,5,300000,10,20,0,0,0,0,1,0,0,1399,68,,,
Maruti Wagon R,Maruti,Wagon R,7883,Trustmark Dealer,Petrol,Automatic,5,550000,2,21.5,0,1,1,0,0,0,0,1197,81.8,,,
Maruti Swift Dzire,Maruti,Swift Dzire,50205,Trustmark Dealer,Diesel,Manual,5,390000,8,23.4,0,0,0,0,1,0,0,1248,74,,,
Mahindra Bolero,Mahindra,Bolero,220000,Individual,Diesel,Manual,7,260000,13,13.6,0,0,0,0,1,0,0,2523,63,,,
Tata Tigor,Tata,Tigor,58000,Dealer,Diesel,Manual,5,395000,4,24.7,1,0,0,0,1,0,0,1047,69,,,
Mahindra Scorpio,Mahindra,Scorpio,170000,Individual,Diesel,Manual,8,550000,9,12.05,0,0,0,0,1,0,0,2179,120,,,
Maruti Swift Dzire,Maruti,Swift Dzire,15000,Individual,Petrol,Manual,5,650000,3,22,0,0,1,0,0,0,0,1197,81.8,,,
Maruti Swift,Maruti,Swift,71245,Dealer,Diesel,Manual,5,375000,5,28.4,1,0,0,0,1,0,0,1248,74,,,
Kia Seltos,Kia,Seltos,7000,Individual,Petrol,Manual,5,1300000,2,16.1,0,0,1,0,0,0,0,1353,138,,,
Maruti Alto,Maruti,Alto,20000,Individual,Petrol,Manual,5,360000,3,23.95,0,0,1,0,0,0,0,998,67.05,,,
Maruti Celerio,Maruti,Celerio,8700,Individual,Petrol,Manual,5,505000,1,21.63,0,0,1,0,0,0,0,998,67.04,,,
Maruti Alto,Maruti,Alto,25000,Individual,Petrol,Manual,5,310000,2,24.7,0,0,1,0,0,0,0,796,47.3,,,
Hyundai i20,Hyundai,i20,42000,Dealer,Petrol,Manual,5,545000,6,18.6,1,0,1,0,0,0,0,1197,81.86,,,
Mahindra Bolero,Mahindra,Bolero,120000,Individual,Diesel,Manual,7,150000,15,13.6,0,0,0,0,1,0,0,2523,63,,,
Maruti Baleno,Maruti,Baleno,50000,Individual,Petrol,Manual,5,580000,3,21.4,0,0,1,0,0,0,0,1197,83.1,,,
Maruti Wagon R,Maruti,Wagon R,58000,Individual,Petrol,Manual,5,250000,10,18.9,0,0,1,0,0,0,0,998,67.1,,,
Hyundai Verna,Hyundai,Verna,36000,Individual,Petrol,Manual,5,650000,4,17.43,0,0,1,0,0,0,0,1396,105.5,,,
Maruti Ertiga,Maruti,Ertiga,30000,Individual,Diesel,Manual,7,410000,3,25.47,0,0,0,0,1,0,0,1248,88.5,,,
Ford Ecosport,Ford,Ecosport,162828,Dealer,Diesel,Manual,5,531000,6,22.77,1,0,0,0,1,0,0,1498,98.59,,,
Ford Ecosport,Ford,Ecosport,7500,Individual,Diesel,Manual,5,890000,3,23,0,0,0,0,1,0,0,1498,98.96,,,
Tata Safari,Tata,Safari,47227,Dealer,Diesel,Manual,7,775000,5,14,1,0,0,0,1,0,0,2179,138.1,,,
Maruti Wagon R,Maruti,Wagon R,52000,Dealer,CNG,Manual,5,435000,3,33.54,1,0,0,0,0,1,0,998,67.04,,,
Ford Figo,Ford,Figo,74000,Dealer,Diesel,Manual,5,185000,9,20,1,0,0,0,1,0,0,1399,68.05,,,
Mahindra Bolero,Mahindra,Bolero,47000,Dealer,Diesel,Manual,7,440000,10,15.96,1,0,0,0,1,0,0,2523,62.1,,,
Hyundai i20,Hyundai,i20,50000,Individual,Petrol,Manual,5,450000,6,18.6,0,0,1,0,0,0,0,1197,81.83,,,
Maruti Baleno,Maruti,Baleno,100000,Individual,Petrol,Manual,5,600000,4,21.4,0,0,1,0,0,0,0,1197,83.1,,,
Maruti Celerio,Maruti,Celerio,35000,Individual,Petrol,Manual,5,320000,7,23.1,0,0,1,0,0,0,0,998,67.04,,,
Hyundai i20,Hyundai,i20,50000,Individual,Diesel,Manual,5,700000,5,21.19,0,0,0,0,1,0,0,1396,88.73,,,
Ford Aspire,Ford,Aspire,10000,Individual,Petrol,Manual,5,630000,3,18.16,0,0,1,0,0,0,0,1196,86.8,,,
Maruti Alto,Maruti,Alto,10370,Individual,Petrol,Manual,5,320000,5,22.74,0,0,1,0,0,0,0,796,47.3,,,
Honda City,Honda,City,62000,Dealer,Petrol,Manual,5,465000,8,16.8,1,0,1,0,0,0,0,1497,116.3,,,
Hyundai i20,Hyundai,i20,40000,Individual,Petrol,Manual,5,550000,5,18.6,0,0,1,0,0,0,0,1197,81.83,,,
Maruti Swift,Maruti,Swift,60000,Individual,Petrol,Manual,5,445000,4,22,0,0,1,0,0,0,0,1197,81.8,,,
Tata Safari,Tata,Safari,67231,Dealer,Diesel,Manual,7,705000,8,14,1,0,0,0,1,0,0,2179,138.1,,,
Maruti Wagon R,Maruti,Wagon R,64000,Dealer,CNG,Manual,5,270000,8,33.54,1,0,0,0,0,1,0,998,67.04,,,
Honda City,Honda,City,63000,Dealer,Diesel,Manual,5,475000,7,26,1,0,0,0,1,0,0,1498,98.6,,,
Toyota Fortuner,Toyota,Fortuner,80000,Individual,Diesel,Manual,7,1755000,6,12.55,0,0,0,0,1,0,0,2982,168.5,,,
Honda City,Honda,City,55000,Dealer,Petrol,Manual,5,350000,10,16.9,1,0,1,0,0,0,0,1497,100,,,
Hyundai i20,Hyundai,i20,11000,Dealer,Petrol,Manual,5,575000,5,18.6,1,0,1,0,0,0,0,1197,81.83,,,
Renault KWID,Renault,KWID,17000,Individual,Petrol,Manual,5,360000,4,23.01,0,0,1,0,0,0,0,999,67,,,
Maruti Alto,Maruti,Alto,25000,Individual,Petrol,Manual,5,275000,4,24.7,0,0,1,0,0,0,0,796,47.3,,,
Datsun GO,Datsun,GO,33350,Individual,Petrol,Manual,7,320000,5,19.44,0,0,1,0,0,0,0,1198,67,,,
Hyundai Grand,Hyundai,Grand,62000,Dealer,Petrol,Manual,5,370000,6,18.9,1,0,1,0,0,0,0,1197,82,,,
Maruti Swift Dzire,Maruti,Swift Dzire,59000,Individual,Petrol,Manual,5,275000,12,17.5,0,0,1,0,0,0,0,1298,85.8,,,
Honda City,Honda,City,86113,Dealer,Petrol,Manual,5,550000,7,17.4,1,0,1,0,0,0,0,1497,117.3,,,
Maruti Swift Dzire,Maruti,Swift Dzire,10000,Individual,Diesel,Manual,5,750000,3,28.4,0,0,0,0,1,0,0,1248,74.02,,,
Maruti Wagon R,Maruti,Wagon R,92537,Individual,Petrol,Manual,5,272000,6,20.51,0,0,1,0,0,0,0,998,67.04,,,
Maruti Ciaz,Maruti,Ciaz,27645,Dealer,Diesel,Manual,5,951000,2,28.09,1,0,0,0,1,0,0,1248,88.5,,,
Maruti Alto,Maruti,Alto,46242,Individual,Petrol,Manual,5,280000,8,20.92,0,0,1,0,0,0,0,998,67.1,,,
